engine,activated_factor,q_message_value
BPEngine,f1012,9177299670487483645958967108042752.000000
BPEngine,f1015,7367576758996228348837021758783488.000000
BPEngine,f111,8865714573123156189456716967968768.000000
BPEngine,f1112,9702655915238728678273628376137728.000000
BPEngine,f1115,7892933003747474534073187633725440.000000
BPEngine,f112,10553203954239044069385944820613120.000000
BPEngine,f114,7970604494552130842046688229588992.000000
BPEngine,f115,8743481042747792231028513291894784.000000
BPEngine,f118,8873968082900398301831884844302336.000000
BPEngine,f1213,9448225307839924452339398167494656.000000
BPEngine,f1214,8807545836667704483785104244604928.000000
BPEngine,f1217,9070021663759368041278165454159872.000000
BPEngine,f1218,9710909425015973096491805466165248.000000
BPEngine,f1219,7471768360150454329905511307149312.000000
BPEngine,f13,9584548973734223874337020823207936.000000
BPEngine,f1314,6865625848153013530843150790164480.000000
BPEngine,f1317,7128101675244675935414707392872448.000000
BPEngine,f1318,7768989436501277531863833584336896.000000
BPEngine,f1320,6187414636982859464980123447459840.000000
BPEngine,f1415,6997822925176451492506168109039616.000000
BPEngine,f15,6972556339759299966316691993919488.000000
BPEngine,f1516,5823481574676017965156861829185536.000000
BPEngine,f1517,7260298752268115049999229318594560.000000
BPEngine,f1620,4372393815310209427841037065256960.000000
BPEngine,f1819,5792532488811807409429946723991552.000000
BPEngine,f1820,6450098754158912720818549173518336.000000
BPEngine,f19,9378724260745613997971897157943296.000000
BPEngine,f210,6045692545678892499421309781934080.000000
BPEngine,f211,6571048790430145602186503297957888.000000
BPEngine,f23,7289883191041213287066807153197056.000000
BPEngine,f27,5330117487483927329787612225339392.000000
BPEngine,f311,8734000934733910789067713592426496.000000
BPEngine,f312,10421490315849798668996941445070848.000000
BPEngine,f313,8479570327335107716054987990630400.000000
BPEngine,f318,8742254444511154054364386075607040.000000
BPEngine,f38,6520641928687576389624935022067712.000000
BPEngine,f39,9247010622356369750504398389248000.000000
BPEngine,f417,5886256980215867789644934238175232.000000
BPEngine,f418,6527144741472472844858574250180608.000000
BPEngine,f47,5277959928749012460084515301228544.000000
BPEngine,f49,7031900919317687388077081956974592.000000
BPEngine,f515,5999774770383620616776171873370112.000000
BPEngine,f56,5328534114016197350769706938662912.000000
BPEngine,f610,6696336102628806235752061430923264.000000
BPEngine,f611,7221692347380057032674245733253120.000000
BPEngine,f612,8909181728495947218446482799591424.000000
BPEngine,f616,5152240918308597581454158411595776.000000
BPEngine,f67,5980761044433838760275354660634624.000000
BPEngine,f715,6652001700801262026281819595341824.000000
BPEngine,f79,7287244918799084946146708068237312.000000
BPEngine,f810,5276451283325256754900942257651712.000000
BPEngine,f816,3732356099005045218299277721206784.000000
BPEngine,f910,8002819976994053574544919445372928.000000
BPEngine,f912,10215665602861188792631817779806208.000000
BPEngine,f917,7895541970265940275707127005184000.000000
BPEngine,f920,6954854932004129569880066094006272.000000
DampingEngine,f1012,1396487.735525
DampingEngine,f1015,1121106.652959
DampingEngine,f111,1349074.684938
DampingEngine,f1112,1476429.941963
DampingEngine,f1115,1201048.859397
DampingEngine,f112,1605855.863311
DampingEngine,f114,1212868.009097
DampingEngine,f115,1330474.780744
DampingEngine,f118,1350330.488754
DampingEngine,f1213,1437713.771381
DampingEngine,f1214,1340223.266123
DampingEngine,f1217,1380163.460796
DampingEngine,f1218,1477685.745780
DampingEngine,f1219,1136961.095953
DampingEngine,f13,1458457.343443
DampingEngine,f1314,1044725.917167
DampingEngine,f1317,1084666.111841
DampingEngine,f1318,1182188.396824
DampingEngine,f1320,941523.965395
DampingEngine,f1415,1064842.183556
DampingEngine,f15,1060997.439044
DampingEngine,f1516,886145.370529
DampingEngine,f1517,1104782.378230
DampingEngine,f1620,665336.647109
DampingEngine,f1819,881435.721397
DampingEngine,f1820,981495.939794
DampingEngine,f19,1427138.090356
DampingEngine,f210,919958.533080
DampingEngine,f211,999900.739518
DampingEngine,f23,1109283.898015
DampingEngine,f27,811071.160541
DampingEngine,f311,1329031.922087
DampingEngine,f312,1585813.100460
DampingEngine,f313,1290315.751504
DampingEngine,f318,1330287.725904
DampingEngine,f38,992230.276466
DampingEngine,f39,1407095.327505
DampingEngine,f417,895697.531177
DampingEngine,f418,993219.816161
DampingEngine,f47,803134.433367
DampingEngine,f49,1070027.417762
DampingEngine,f515,912971.613503
DampingEngine,f56,810830.504228
DampingEngine,f610,1018965.543683
DampingEngine,f611,1098907.750121
DampingEngine,f612,1355688.928495
DampingEngine,f616,784004.261253
DampingEngine,f67,910078.171144
DampingEngine,f715,1012219.280420
DampingEngine,f79,1108882.590031
DampingEngine,f810,802904.911531
DampingEngine,f816,567943.629101
DampingEngine,f910,1217769.962571
DampingEngine,f912,1554493.347382
DampingEngine,f917,1201445.687842
DampingEngine,f920,1058303.541396
