activated_factor,rank,min_belief,log_belief,normalized
f27,1,7.2404e+19,19.8598,1
f49,2,6.68435e+19,19.8251,0.923196
f1820,3,5.93697e+19,19.7736,0.819962
f715,4,5.53948e+19,19.7435,0.765059
f612,5,5.20977e+19,19.7168,0.719517
f1620,6,4.80474e+19,19.6817,0.663572
f1317,7,4.75665e+19,19.6773,0.65693
f1219,8,4.66179e+19,19.6686,0.643828
f816,9,4.39846e+19,19.6433,0.607454
f917,10,4.27835e+19,19.6313,0.590864
f23,11,4.24324e+19,19.6277,0.586014
f1012,12,4.02991e+19,19.6053,0.556548
f118,13,3.94204e+19,19.5957,0.544411
f67,14,3.84069e+19,19.5844,0.530412
f1819,15,3.59497e+19,19.5557,0.496472
f616,16,3.4833e+19,19.542,0.481047
f418,17,3.40688e+19,19.5324,0.470491
f211,18,3.23204e+19,19.5095,0.446342
f38,19,3.12635e+19,19.495,0.431744
f312,20,3.09248e+19,19.4903,0.427065
f311,21,3.0229e+19,19.4804,0.417454
f417,22,2.7168e+19,19.4341,0.375174
f515,23,2.55568e+19,19.4075,0.352919
f13,24,2.4491e+19,19.389,0.338198
f912,25,2.36979e+19,19.3747,0.327244
f1112,26,2.30963e+19,19.3635,0.318933
f1115,27,2.09572e+19,19.3213,0.289386
f610,28,2.01124e+19,19.3035,0.277718
f1214,29,1.95056e+19,19.2902,0.269336
f910,30,1.92496e+19,19.2844,0.265801
f611,31,1.65739e+19,19.2194,0.228842
f15,32,1.53926e+19,19.1873,0.212526
f1517,33,1.48275e+19,19.1711,0.204719
f1213,34,1.4733e+19,19.1683,0.203414
f210,35,1.42605e+19,19.1541,0.196888
f56,36,1.33322e+19,19.1249,0.184066
f1015,37,1.21784e+19,19.0856,0.168129
f114,38,1.19787e+19,19.0784,0.165371
f39,39,1.00661e+19,19.0029,0.138952
f47,40,1.00437e+19,19.0019,0.138643
f1516,41,9.37203e+18,18.9718,0.129365
f115,42,9.15543e+18,18.9617,0.126374
f1217,43,8.5128e+18,18.9301,0.117497
f79,44,7.78728e+18,18.8914,0.107476
f112,45,7.31138e+18,18.864,0.100903
f1415,46,7.29655e+18,18.8631,0.100698
f1218,47,6.58806e+18,18.8188,0.0909117
f111,48,6.53758e+18,18.8154,0.0902144
f920,49,6.39224e+18,18.8057,0.0882069
f1318,50,5.98301e+18,18.7769,0.0825543
f1314,51,5.87712e+18,18.7692,0.0810918
f313,52,4.06401e+18,18.609,0.0560479
f318,53,2.79909e+18,18.447,0.0385761
f810,54,2.28062e+18,18.3581,0.0314147
f1320,55,3.42618e+17,17.5348,0.00464588
f19,56,6.26709e+15,15.7971,0
